Site name,Cat_No,Provenance code,X coordinate,Y coordinate,No. of artefacts,Artefact category,act_cat,Material,Material detail,Type,Sub-Type,Description,Inscription,Find No./Inv. No. ,Find No. reduced,Date,Stratigraphical info,Period,Building phase,Building phase code,Building phase and find complex,Location,location_reduced,Gender ,Gender code,Width (cm),Rim diam. (cm),Base diam. (cm),Diam. (cm),Height (cm),Length (cm),Thickness (cm),Weight (g),Other dimensions,Fabric,Published illustration,Published parallels
Ellingen,S0007,121,27.80,71.50,1,human remains,Sk,Human bones,,neonates,,"Partial skeleton of 0-3 month old infant; ribs & vertabrae, scapula, clavicle, humerus, radius, ulna, ilium, femus & tibia, ischium.",,14 23 34,2334,,,,Period 1b-2?,ZP1B_2,Find complex 12,"Area G, pit G14",Area G,child,Ch,,,,,,,,,,,,
Ellingen,B0046,121,27.80,71.50,1,combat dress?,ZDE,Copper alloy,,Strap fittings,,"Strap fastener, narrow rectangular with inwards curving sides, edges facetted; on the rear side pin with offset knob; fragment, remains of an illegible inscription.",,1991-2335,2335,,,,Period 1b-2?,ZP1B_2,Find complex 12,"Area G, pit G14",Area G,male?,ZMa,,,,,,1.8,,,,,Pl.  16,"Similar to no. B45; Oldenstein, Ausrüstung pl. 59.734 (Saalburg)."
Ellingen,C0102,19,14.50,56.00,1,stone and metal working,SM,Iron,,Chisels,,"Flat chisel with barbed rim and slightly widened, broken blade.",,1991-2411,2411,,,,Period 1-2,P1_2,Find complex 13,"Area G, pit G37",Area G,male,Ma, blade originally c. 2.3  ,,,,,16.1,,203 (preserved) ,,,Pl.  30,"Pietsch, Saalburg 34f."
Ellingen,K0079,19,14.50,56.00,1,stone and metal working,SM,Slag,,Indeterminate fragments,,l medium piece.,,1991-2407,2407,,,,Period 1-2,P1_2,Find complex 13,"Area G, pit G37",Area G,male,Ma,,,,,,,,90,,,,
Ellingen,C0116,19,14.50,56.00,1,wood and leather working,WL,Iron,,Chisels,,Concave tool with arched blade and slit socket.,,1991-2411,2411,,,,Period 1_2,P1_2,Find complex 13,"Area G, pit G37",Area G,male,Ma,blade: 4.0  ,,,socket: 2.6  ,,18.8,,188 (preserved),,,Pl.  31,"Pietsch, Saalburg 30 and pl. 8.120, 121 (Zugmantel,Saalburg)."
Ellingen,B0143,19,14.50,56.00,1,cloth working?/toilet?,ZC_T,Copper alloy,,Needles,,Needle point.,,1991-2408,2408,,,,Period 1-2,P1_2,Find complex 13,"Area G, pit G37",Area G,male?/female?,ZMa_Fe,,,,,,3.6  (preserved),0.2,,,,,
Ellingen,K0010,17,14.00,67.00,80,stone and metal working,SM,Slag,,Indeterminate fragments,,"5 large, approx.  30 medium, approx.  45 small pieces.",,1991-2402,2402,,,,Period 1b-2?,ZP1B_2,,"Area G, pits G l - G3",Area G,male,Ma,,,,,,,,2102,,,,
Ellingen,J0025,72,21.60,72.40,1,cutting and sharpening,CS,Stone,Sandstone,Whetstones,medium,"Very fine-grained sandstone; fragment, rectangular; upper and under side with processing traces (Hammer), narrow sides with grinding traces.",,1991-2358,2358,,,,Period 1b-2?,ZP1B_2,,"Area G, posthole G12",Area G,male?,ZMa,,,,,,,,235 (preserved) ,10.4 x n. 6.4 x 2.2 cm (preserved),,Pl.  104,
Ellingen,K0023,53,19.10,62.80,2,stone and metal working,SM,Slag,,Indeterminate fragments,,"l large, l medium pieces.",,1991-2353,2353,,,,Period 1b-2?,ZP1B_2,,"Area G, posthole G21",Area G,male,Ma,,,,,,,,559,,,,
Ellingen,K0132,70,21.10,63.50,1,stone and metal working,SM,Slag,,Indeterminate fragments,,l small piece.,,1991-2359,2359,,,,Period 1b-2?,ZP1B_2,,"Area G, posthole G22",Area G,male,Ma,,,,,,,,15,,,,
Ellingen,K0106,91,23.20,63.20,1,stone and metal working,SM,Slag,,Indeterminate fragments,,l medium piece.,,1991-2355,2355,,,,Period 1b-2?,ZP1B_2,,"Area G, posthole G23",Area G,male,Ma,,,,,,,,37,,,,
Ellingen,K0122,120,27.80,63.40,1,stone and metal working,SM,Slag,,Indeterminate fragments,,l small piece.,,1991-2356,2356,,,,Period 1b-2?,ZP1B_2,,"Area G, posthole G33",Area G,male,Ma,,,,,,,,20,,,,
Ellingen,K0024,113,26.80,63.30,1,stone and metal working,SM,Slag,,Indeterminate fragments,,l large piece.,,1991-2357,2357,,,,Period 1b-2?,ZP1B_2,,"Area G, posthole G34",Area G,male,Ma,,,,,,,,544,,,,
Ellingen,K0047,96,25.00,65.00,6,stone and metal working,SM,Slag,,Indeterminate fragments,,"3 medium, 3 small pieces.",,1991-2351,2351,,,,Period 1b-2?,ZP1B_2,,"Area G, profile 197",Area G,male,Ma,,,,,,,,210,,,,
Ellingen,B0007,37,17.00,30.30,1,dress,D,Copper alloy,,Brooches,Böhme Type 28f; Jobst Type 25 ; Riha Type 6.4.2/3,"Hinged arm brooch. Two piece bronze brooch; upper surface tin-plated; hinged arm of ciruclar section, pin broken off; on upper and lower side a shallow bow knob; tapering at the head with small bulge; semicircular shaped, arched bow of trapezoidal section with ten small holes, at the transition to the foot small bow disc with attached moulding; closed tubular foot with vertical facets.",,13 22 99 / 1999-2299,2299,c. 200 - 1st 1/2 3rd cent. AD ,Planum 1 - above,,Period 1-2,3RD_CENT,,Area H,Area H,male?,ZMa,,,,,,5.5,,,,,Pl.  14,
Ellingen,K0116,74,22.00,32.00,2,stone and metal working,SM,Slag,,Indeterminate fragments,,2 small pieces.,,1991-2338,2338,,,,Period 1-2,P1_2,,Area H,Area H,male,Ma,,,,,,,,25,,,,
Ellingen,M0008,87,23.00,30.00,1,cutting and sharpening,CS,Flint,,Indeterminate fragments,,Silex chip.,,1991-2302,2302,,,Pre-Roman,Period 1-2,P1_2,,Area H,Area H,male?,ZMa,2.1,,,,,2.9,,,,,,
Ellingen,J0024,88,23.00,39.50,1,cutting and sharpening,CS,Stone,Sandstone,Whetstones,large,Very fine-grained sandstone; fragment; all five sides slightly convex with processing traces.,,1991-2331,2331,,,,Period 1-2,P1_2,,Area H,Area H,male?,ZMa,,,,,,,,412 (preserved),8.3 x 8.9 x 3.9 cm (preserved),,Pl.  104,
Ellingen,C0283j,136,30.00,35.00,1,dress,D,Iron,,Shoe nails,,Shoe nail similar to no. C282.,,1991-2327,2327,,,,Period 1-2,P1_2,,Area H,Area H,male?,ZMa,,,,,,1.1-2.0 ,,,,,,
Ellingen,K0094,136,30.00,35.00,4,stone and metal working,SM,Slag,,Indeterminate fragments,,"l medium, 3 small pieces.",,1991-2325,2325,,,,Period 1-2,P1_2,,Area H,Area H,male,Ma,,,,,,,,60,,,,
Ellingen,B0138,136,30.00,35.00,1,dress?/cloth working?/toilet?,ZD_C_T,Copper alloy,,Needles & pins,,"Pin fragment with square section, becoming narrower at both broken ends.",,1991-2327,2327,,,,Period 1-2,P1_2,,Area H,Area H,male?/female?,ZMa_Fe,,,,,,4.3  (preserved),0.3,,,,,
Ellingen,B0062,136,30.00,35.00,1,combat dress?,ZDE,Copper alloy,,Strap fittings,,"Small buckle, tongue missing, small appendige for the strap.",,1991-2327,2327,,,,Period 1-2,P1_2,,Area H,Area H,male?,ZMa,1.7,,,,,3,,,,,Pl.  17,"Oldenstein, Ausrüstung 215; pl. 75.1005 (Pfünz); 76.1007 (Weißenburg)."
Ellingen,W0017,136,30.00,35.00,1,food?/miscellaneous?/gaming?,ZFo_M_G,Animal bones,Worked?,Elk,,"Vertebrae, knucklebone.",,14 23 25,2325,,,,Period 1-2,P1_2,,Area H,Area H,male?/female?,ZMa_Fe,,,,,,,,,,,fig. 75. 3,
Ellingen,F0014,136,30.00,35.00,1,tableware and serving?/toilet?,ZTS_T,Glass,Natural,Dishes/bowls,,l rim sherd of a bowl (?) with slightly thickened rim similar F 13; colourless;,,1991-2325,2325,,,,Period 1_2,P1_2,,Area H,Area H,N/A,U,,c. 14 ,,,,,,,,,,
Ellingen,J0020,16,14.00,40.00,1,cutting and sharpening,CS,Stone,Sandstone,Whetstones,large,Very fine-grained sandstone; fragment; upper and under side probably with fine processing traces.,,1991-2391,2391,,,,Period 1a?,ZP1A,Find complex 14,"Area H, pit H58",Building E (Area H),male?,ZMa,,,,,,,,1598,14.8 x 14.1 x 3.5 - 6.3 cm ,,Pl.  104,
Ellingen,J0055a,16,14.00,40.00,1,cutting and sharpening,CS,Stone,Sandstone,Whetstones,small,"Very fine-grained sandstone; two fragments probably from the same long rectangular grinding-stone; all four long sides with grinding traces, additionally one long side with grinding grooves.",,"1991-2371,1991-2387",2371,,,,Period 1a?,ZP1A,Find complex 14,"Area H, pit H58",Building E (Area H),male?,ZMa,,,,,,,,40 (preserved),2.3 x 2.5 x 1.6 cm (preserved),,Pl.  104,
Ellingen,J0055b,16,14.00,40.00,1,cutting and sharpening,CS,Stone,Sandstone,Whetstones,small,"Very fine-grained sandstone; two fragments probably from the same long rectangular grinding-stone; all four long sides with grinding traces, additionally one long side with grinding grooves.",,"1991-2371, 1991-2387",2387,,,,Period 1a?,ZP1A,Find complex 14,"Area H, pit H58",Building E (Area H),male?,ZMa,,,,,,,,40 (preserved),3.5 x 2.5 x 2.1 cm  (preserved),,Pl.  104,
Ellingen,J0059,16,14.00,40.00,1,cutting and sharpening,CS,Stone,Sandstone,Whetstones,irregular,"Very fine-grained sandstone; fragment, triangular with trapezoidal section; three long sides with grinding traces, one long side broken.",,1991-2388,2388,,,,Period 1a?,ZP1A,Find complex 14,"Area H, pit H58",Building E (Area H),male?,ZMa,,,,,,,,160 (preserved) ,8.8 x 5.1 x 3.9 cm (preserved) ,,Pl.  104,
Ellingen,C0283l,16,14.00,40.00,1,dress,D,Iron,,Shoe nails,,Shoe nail similar to no. C282.,,1991-2371,2371,,,,Period 1a?,ZP1A,Find complex 14,"Area H, pit H58",Building E (Area H),male?,ZMa,,,,,,1.1-2.0 ,,,,,,
Ellingen,S0008,16,14.00,40.00,1,human remains,Sk,Human bones,,neonates,,Skull fragment of a neonate.,,14 23 71,2371,,,,Period 1a?,ZP1A,Find complex 14,"Area H, pit H58",Building E (Area H),child,Ch,,,,,,,,,,,,
Ellingen,K0046,16,14.00,40.00,5,stone and metal working,SM,Slag,,Indeterminate fragments,,"3 medium, 2 small pieces.",,1991-2371,2371,,,,Period 1a?,ZP1A,Find complex 14,"Area H, pit H58",Building E (Area H),male,Ma,,,,,,,,212,,,,
Ellingen,M0010,45,18.00,39.00,1,cutting and sharpening,CS,Flint,,Indeterminate fragments,,Silex chip.,,1991-2360,2360,,,Pre-Roman,Period 1-2,P1_2,Find complex 15,"Area H, pit H59",Building E (Area H),male?,ZMa,2.2,,,,,2.8,0.4,,,,,
Ellingen,F0028,45,18.00,39.00,1,tableware and serving?/toilet?,ZTS_T,Glass,Natural,Cups,Isings 85b,"l rim sherd with thickened rim of a cup, similar F21; slightly greenish.",,1991-2386,2386,,,,Period 1b-2?,ZP1B_2,Find complex 15,"Area H, pit H59",Building E (Area H),N/A,U,,8.2,,,,,,,,,,
Ellingen,J0040,150,31.50,35.50,1,cutting and sharpening,CS,Stone,Sandstone,Whetstones,medium,"Very fine-grained sandstone; fragment; upper, one long and one short side with grinding traces, additionally short side with grinding grooves.",,1991-2409,2409,,,,Period 1b-2?,ZP1B_2,,"Area H, posthole H35",Area H,male?,ZMa,,,,,,,,164 (preserved),5.6 x 7.7 x 2.5 cm  (preserved),,Pl.  104,
Ellingen,B0057,81,22.40,38.70,1,combat dress?,ZDE,Copper alloy,,Strap fittings,,"Fitting, band-shaped, spreading into two rolled side arms; small D-shaped piercing and two small round appendiges; edges bent; remains of tin-plate on the front side.",,1991-2380,2380,,,,Period 1-2,P1_2,,"Area H, posthole(?) H45",Area H,male?,ZMa,,,,,,3.0  (preserved),,,,,Pl.  17,
Ellingen,B0168,136,30.00,35.00,1,stone and metal working,SM,Copper alloy,,Spout fragments,,"Spout with 10 small, pinched off pouring channel plugs.",,1991-2303,2303,,,,,ZZ,,"Area H, stray find",Area H,male,Ma,,,, 3.2-3.9  ,,,,70,,,Pl.  20,
Ellingen,C0065,208,45.00,45.00,1,cutting and sharpening,CS,Iron,,Knives,,Knife with straight back and high placed handle tang; badly bent. ,,1991-368,368,,Foundations,,Period 1-2,P1_2,,Building A,Building A,male?,ZMa,blade: 1.5 ,,,,,8.6 (preserved),,,,,Pl.  27,
Ellingen,C0124,208,45.00,45.00,1,writing,W,Iron,,Stili,,"Stilus, of round section, broken; below the scraper brass-inlaid groove.",,1991-368,368,,Foundations,,Period 1-2,P1_2,,Building A,Building A,male?,ZMa,nib: 1.0  ,,,,,5.1 (preserved) ,0.35,,,,Pl.  32,
Ellingen,J0061,175,37.00,43.00,1,cutting and sharpening,CS,Stone,Sandstone,Whetstones,irregular,"Very fine-grained sandstone; fragment, triangular section; two long sides with grinding traces, one long side with a break.",,1991-877,877,,Pit A25 - under Planum 2,,Period 1a?,ZP1A,Find complex 6,"Building A, pit A25",Building A,male?,ZMa,,,,,,,,182 (preserved),12.2 x 6.7 x 3.3 cm  (preserved) ,,Pl.  104,
Ellingen,K0058,175,37.00,43.00,6,stone and metal working,SM,Slag,,Indeterminate fragments,,"4 medium, 2 small pieces.",,1991-827,827,,Pit A25 - above Planum 2,,Period 1a?,ZP1A,Find complex 6,"Building A, pit A25",Building A,male,Ma,,,,,,,,159,,,,
Ellingen,K0091,175,37.00,43.00,10,stone and metal working,SM,Slag,,Indeterminate fragments,,Approx.  10 small pieces.,,1991-836,836,,Pit A25 - under Planum 2,,Period 1a?,ZP1A,Find complex 6,"Building A, pit A25",Building A,male,Ma,,,,,,,,62,,,,
Ellingen,K0127,175,37.00,43.00,1,stone and metal working,SM,Slag,,Indeterminate fragments,,l small piece.,,1991-731,731,,Pit A25 - above Planum 2,,Period 1a?,ZP1A,Find complex 6,"Building A, pit A25",Building A,male,Ma,,,,,,,,17,,,,
Ellingen,J0045,339,65.00,50.00,1,cutting and sharpening,CS,Stone,Sandstone,Whetstones,medium,"Very fine-grained sandstone; fragment, long rectangular; all four long sides with grinding traces and grinding grooves.",,1991-2078,2078,,,,Period 1-2,P1_2,,Building B,Building B,male?,ZMa,,,,,,,,408 (preserved) ,12.5 x 6.0 x 4.7 cm  (preserved) ,,Pl.  104,
Ellingen,T0061,532,66.00,47.50,1,human remains,Sk,Human bones,,Adult,,,,Building B,4023,,,,Period 1-2,P1_2,,Building B,Building B,male?/female?,ZMa_Fe,,,,,,,,,,,,
Ellingen,C0060,468,75.80,50.00,1,cutting and sharpening,CS,Iron,,Knives,,"Knife fragment with straight, widened back and centrally-placed, protuberance-like handle tang.",,1991-1288,1288,,,,Period 1-2,P1_2,,"Building B, east porticus, east of room 24 ",Building B,male?,ZMa,blade: 2.3 ,,,,,7.4 (preserved),,,,,Pl.  27,
Ellingen,K0140,468,75.80,50.00,1,stone and metal working,SM,Slag,,Indeterminate fragments,,Fragment of a robust iron-manganese-fusion.,,1991-1288,1288,,,,Period 1-2,P1_2,,"Building B, east porticus, east of room 24 ",Building B,male,Ma,,,,,,,,142,,,,
Ellingen,EII1705,468,75.80,50.00,1,dress?/cloth working?,ZD_C,Ceramic,,Beads/spindlewhorls?,,Spindle whorl; dark grey to black.,,1991-1288,1288,,,prehistoric or imperial,Period 1-2,P1_2,,"Building B, east porticus, east of room 24 ",Building B,female?/child?,ZFe_Ch,,,, 2.7;  central hole diam. c. 4mm,2,,,,,medium,Pl.  91,
Ellingen,L0005,339,65.00,50.00,1,stone and metal working,SM,Clay,,Crucibles,,"l rim sherd of a crucible; outside black, glassy layer; inside grey with two small green bronze grains.",,1991-1336,1336,,Planum 1,,Period 2,P2,Building B-III,"Building B, middle part ",Building B,male,Ma,, 6-7 ,,,,,,,,"fine, grey",,
Ellingen,F0040,342,65.00,65.00,5,toilet?,ZT,Glass,Natural,Unguentaria and small bottles,,"Upper part of a balsamarium with longneck; slightly greenish, matt.",,1991-2174,2174,,,,Period 1_2,P1_2,,"Building B, middle part ",Building B,female?,ZFe,,2.7,,,,,,,,,Pl.  93,"Goethert-Polaschek, Gläser Trier 119ff. (Form 73); Welker,NidaII 23f.; Fasold, GläserKempten 226 no. 60."
Ellingen,J0031,384,68.00,42.50,1,cutting and sharpening,CS,Stone,Sandstone,Whetstones,medium,"Very fine-grained sandstone; fragment, rectangular; upper side with grinding grooves and grinding or processing traces, under side with coarse processing traces, long sides with grinding traces.",,1991-806,806,,,,Period 1-2,P1_2,,"Building B, middle part ",Building B,male?,ZMa,,,,,,,,135 (preserved),8.2 x 4.6 x 2.1 cm  (preserved),,Pl.  104,
Ellingen,K0087,384,68.00,42.50,1,stone and metal working,SM,Slag,,Indeterminate fragments,,l medium piece.,,1991-806,806,,,,Period 1-2,P1_2,,"Building B, middle part ",Building B,male,Ma,,,,,,,,70,,,,
Ellingen,B0124,384,68.00,42.50,1,dress?/miscellaneous fittings?,ZD_MF,Copper alloy,,Finger-rings?,,Fragment of a ring with quadrangular section.,,1991-806,806,,,,Period 1-2,P1_2,,"Building B, middle part ",Building B,female?,ZFe,,,,1.7,,,0.25,,,,,
Ellingen,F0032,384,68.00,42.50,2,tableware and serving?/toilet?,ZTS_T,Glass,Natural,Cups,,"2 wall sherds of a straight-sided cup; c. 2 cm above the base a triple engraved lines, 2.2 cm above that five engraved lines; greenish.",,1991-806,806,,,,Period 1_2,P1_2,,"Building B, middle part ",Building B,N/A,U,,,, 8-9  ,,,wall: 0.2 ,,,,,Similar to F31.
Ellingen,C0013,303,61.20,68.90,1,combat equipment,E,Iron,,Javelins and lances,,Lance head with central ridge.,,13 07 78 / 1983-2757,778,,,,Period 2,P2,Building B-III,"Building B, north part , bet. Rooms 1 and 2 ",Building B,male,Ma,blade:: c. 3.3 ,,,socket: 1.6 ,,14.8 (preserved) ,,45.2 (preserved),,,Pl.  23,
Ellingen,C0119,385,68.00,71.00,1,wood and leather working,WL,Iron,,Spatulas,,Crowbar with retracted blade and broken handle tang or modelling spatula similar no. C120;,,1991-736,736,,,,Period 1-2,P1_2,,"Building B, north part , room 3",Building B,male,Ma,straight end: 2.0  ,,,,, 12.7 (preserved) ,,49 (preserved) ,,,Pl.  31,"Pietsch, Saalburg 33 with note 291; 36 with note 314 and pl. 10.168 (Zugmantel); 11.199 (Saalburg)."
Ellingen,B0144,432,72.00,67.00,1,toilet,T,Copper alloy,,Ligulae,,"Ear cleaner, round-sectioned, with quadrangular-sectioned handle.",,13 08 64 / 1983-2740,864,,,,Period 1_2,P1_2,,"Building B, north part , room 8",Building B,male?/female?,ZMa_Fe,,,,,,14.9,,,,,Pl.  19,"Riha, Äugst Toilettgerät 60 Variante D/E."
Ellingen,B0055,432,72.00,67.00,1,combat dress?,ZDE,Copper alloy,,Strap fittings,,"Fitting fragment, preserved  part of an open-work pelta.",,13 08 64 / 1983-2740,864,,,,Period 1-2,P1_2,,"Building B, north part , room 8",Building B,male?,ZMa,,,,,,1.9  (preserved),,,,,Pl.  17,Similar to no. B53.
Ellingen,J0044,265,56.00,34.50,1,cutting and sharpening,CS,Stone,Sandstone,Whetstones,medium,"Very fine-grained, reddish-brown sandstone, probably placed in the fire; fragment, long rectangular; one long side irregular with grinding grooves,  other long sides and one short side with grinding traces and grinding grooves.",,1991- 2150,2150,,,,Period 1b,P1B,Building B-IIb (find complex 7),"Building B, pit B157",Building B,male?,ZMa,,,,,,,,587 (preserved) ,14.3 x 5.8 x 5.0 cm  (preserved) ,,Pl.  104,
Ellingen,C0110,265,56.00,34.50,1,stone and metal working,SM,Iron,,Punch?,,Punch (?) with quadrangular section and broken point.,,1991-2150,2150,,,,Period 1b,P1B,Building B-IIb (find complex 7),"Building B, pit B157",Building B,male,Ma,,,,,,8.1 (preserved)  ,1,25 (preserved),,,Pl.  31,"Pietsch, Saalburg 39f."
Ellingen,K0004,265,56.00,34.50,54,stone and metal working,SM,Slag,,Indeterminate fragments,,"9 large, 29 medium, 16 small pieces.",,1991-2150,2150,,,,Period 1b,P1B,Building B-IIb (find complex 7),"Building B, pit B157",Building B,male,Ma,,,,,,,,3528,,,,
Ellingen,K0077,473,76.00,35.00,5,stone and metal working,SM,Slag,,Indeterminate fragments,,"2 medium, 3 small pieces.",,1991-691,691,,Pit B218 - Planum 1,,Period 2,P2,Building B-III (find complex 8),"Building B, pit B218",Building B,male,Ma,,,,,,,,95,,,,
Ellingen,K0084,473,76.00,35.00,2,stone and metal working,SM,Slag,,Indeterminate fragments,,"l medium, l small piece.",,1991-705,705,,Pit B218 - above Planum 1,,Period 2,P2,Building B-III (find complex 8),"Building B, pit B218",Building B,male,Ma,,,,,,,,80,,,,
Ellingen,K0137,473,76.00,35.00,1,stone and metal working,SM,Slag,,Indeterminate fragments,,l small (bronze slag?) piece.,,1991-723,723,,Pit B218 - above Planum 1,,Period 2,P2,Building B-III (find complex 8),"Building B, pit B218",Building B,male,Ma,,,,,,,,8,,,,
Ellingen,B0153,291,59.50,71.00,1,tableware and serving,TS,Copper alloy,,Cups,drinking-horn,"Drinking horn fitting; the part above the sharply offset, round terminal plate widened into a bulge; three attachment arms of the slit socket broken off; one attachment arm, with cast ring for the end chain link over the ring to a rivet hole(?), broken.",,13 12 68 / 1983-2728,1268,1st-2nd cent.,,,Period 2,P2,Building B-III,"Building B, room 1",Building B,male?,ZMa,,,,endplate: 2.3 ,,4.6  (preserved) ,,,,,Pl.  19,
Ellingen,B0032,291,59.50,71.00,1,combat dress?,ZDE,Copper alloy,,Strap fittings,,"Strap end fastener; spliced upper part with rivet hole, lower part richly profiled.",,13 12 68 / 1983-2728,1268,,,,Period 2,P2,Building B-III,"Building B, room 1",Building B,male?,ZMa,,,,,,6.2,,,,,Pl.  16,"Mainly in Upper Germany-Raetian Limes area and in  Free Germany. Also Oldenstein, Ausrüstung 145f.; pl. 36.314 (Zugmantel)."
Ellingen,B0014,359,66.00,62.95,1,dress,D,Copper alloy,,Brooches,Böhme Type 46b; Riha Type 3.18; 'Type Ellingen' ,Open work disc brooch with flat trumpet ornament (similar to no. B12). Two-piece bronze brooch; upper surface tin-plated; under tendon spiral construction missing; somewhat broken in the middle. ,,1991-1318,1318,2nd 1/2 2nd cent. - beg. 3rd cent. AD,Planum 2,,Period 1b-2,P1B_2,,"Building B, room 11",Building B,male?/female?,ZMa_Fe,,,,,,1.8  (preserved),,,,,Pl.  15,
