89,56
89,75
89,72
76,40
76,81
76,06
76,09
76,56
76,75
76,72
17,40
17,81
17,06
17,09
17,56
17,75
17,72
88,40
88,81
88,06
88,09
88,56
88,75
88,72
40,81
40,06
40,09
40,56
40,55
40,16
40,75
40,72
81,06
81,09
81,56
81,55
81,16
81,75
81,72
06,09
06,56
06,55
06,16
06,75
06,72
09,56
09,55
09,16
09,75
09,72
56,55
56,16
56,75
56,72
55,16
55,75
55,72
16,75
16,72
75,72
89,62
76,62
17,62
62,88
62,12
62,40
12,40
89,74
89,19
89,68
76,74
76,19
76,68
17,74
17,31
17,19
17,68
17,11
62,74
62,31
62,19
62,63
62,68
62,11
62,56
62,16
88,74
88,31
88,19
88,68
74,31
74,19
74,63
74,68
74,11
74,56
74,16
31,19
31,63
31,68
31,11
31,56
31,16
19,63
19,68
19,11
19,56
19,16
63,68
63,11
63,56
63,16
68,11
68,56
68,16
11,56
11,16
89,36
89,92
89,86
76,36
76,92
76,86
17,36
17,92
17,86
62,36
62,92
62,86
88,36
88,92
88,86
19,36
19,92
19,86
36,92
36,86
92,86
89,51
89,01
89,08
76,51
76,01
76,08
17,51
17,01
17,08
17,57
17,27
62,51
62,01
62,08
62,57
62,27
88,51
88,01
88,08
51,01
51,08
51,57
51,27
51,11
51,56
01,08
01,57
01,27
01,11
01,56
08,57
08,27
08,11
08,56
57,27
57,11
57,56
27,11
27,56
89,52
89,30
89,49
89,28
76,52
76,30
76,49
76,28
17,52
17,30
17,49
17,21
17,28
62,52
62,30
62,49
62,21
62,28
88,52
88,30
88,49
88,28
52,30
52,49
52,21
52,28
52,56
30,49
30,21
30,28
30,56
49,21
49,28
49,56
21,28
21,56
28,56
89,38
89,41
89,24
89,03
89,43
89,22
89,46
89,07
76,38
76,41
76,24
76,03
76,43
76,22
76,46
76,07
17,38
17,37
17,41
17,24
17,03
17,43
17,22
17,90
17,46
17,07
62,38
62,37
62,41
62,24
62,03
62,43
62,22
62,90
62,46
62,07
88,38
88,41
88,24
88,03
88,43
88,22
88,90
88,46
88,07
11,38
11,41
11,24
11,03
11,43
11,22
11,90
11,46
11,07
38,37
38,56
38,41
38,24
38,03
38,43
38,22
38,90
38,46
38,07
37,56
37,41
37,24
37,03
37,43
37,22
37,90
37,46
37,07
56,41
56,24
56,03
56,43
56,22
56,90
56,46
56,07
41,24
41,03
41,43
41,22
41,90
41,46
41,07
24,03
24,43
24,22
24,90
24,46
24,07
03,43
03,22
03,90
03,46
03,07
43,22
43,90
43,46
43,07
22,90
22,46
22,07
90,46
90,07
46,07
89,61
76,61
17,25
17,61
17,71
31,25
31,51
31,01
31,08
31,57
31,61
31,71
31,27
31,04
31,62
31,41
25,51
25,01
25,08
25,57
25,61
25,71
25,27
25,04
25,11
25,62
25,88
25,56
25,41
51,61
51,71
51,04
51,62
51,88
51,41
01,61
01,71
01,04
01,62
01,88
01,41
08,61
08,71
08,04
08,62
08,88
08,41
57,61
57,71
57,04
57,62
57,88
57,41
61,71
61,27
61,04
61,11
61,62
61,88
61,56
61,41
71,27
71,04
71,11
71,62
71,88
71,56
71,41
27,04
27,62
27,88
27,41
04,11
04,62
04,88
04,56
04,41
11,62
11,88
89,79
89,13
89,83
76,79
76,13
76,83
17,79
17,13
17,83
17,18
79,13
79,83
79,18
79,62
79,11
13,83
13,18
13,62
13,11
83,18
83,62
83,11
18,62
18,11
89,54
76,54
17,54
17,20
62,54
62,20
88,54
11,54
11,20
38,54
38,20
37,54
37,20
56,54
56,20
54,24
54,41
54,20
24,41
24,20
41,20
89,44
89,78
89,34
89,26
89,87
89,48
76,44
76,78
76,34
76,26
76,87
76,48
17,44
17,78
17,34
17,26
17,87
17,48
62,44
62,61
62,78
62,34
62,26
62,04
62,71
62,87
62,48
44,61
44,78
44,34
44,26
44,04
44,71
44,87
44,48
44,41
61,78
61,34
61,26
61,87
61,48
78,34
78,26
78,04
78,71
78,87
78,48
78,41
34,26
34,04
34,71
34,87
34,48
34,41
26,04
26,71
26,87
26,48
26,41
04,87
04,48
71,87
71,48
87,48
87,41
48,41
89,85
76,85
17,32
17,85
17,59
17,73
17,80
62,32
62,85
62,59
62,73
62,80
88,32
88,85
88,59
88,73
88,80
31,85
31,22
31,24
31,20
32,85
32,11
32,56
32,22
32,41
32,24
32,20
85,59
85,11
85,56
85,22
85,41
85,73
85,80
85,24
85,20
59,11
59,56
59,22
59,41
59,24
59,20
11,73
11,80
56,73
56,80
22,41
22,73
22,80
22,24
22,20
41,73
41,80
73,24
73,20
80,24
80,20
89,29
89,35
89,47
89,70
76,29
76,35
76,47
76,70
17,29
17,35
17,47
17,70
17,33
62,29
62,35
62,47
62,70
62,81
62,33
88,29
88,35
88,47
88,70
29,35
29,47
29,70
29,40
29,81
29,33
29,90
29,24
29,38
35,47
35,70
35,40
35,81
35,33
35,90
35,24
35,38
47,70
47,40
47,81
47,33
47,90
47,24
47,38
70,40
70,81
70,33
70,90
70,24
70,38
40,33
40,90
40,24
40,38
81,33
81,90
81,24
81,38
33,90
33,24
33,38
90,24
90,38
