ID,SF or Cat no,Ctxt ID,Object category,Condition,Obj Type,Firm ID?,Description,Quantity,Height cm,Width cm,Length cm,Depth cm,Diameter cm,Rim dia cm,Base dia cm,Material,Technique,Appearance,Stylistic date,Figure no,Obj Illustration,Out of copyright,Notes,VS parallels
153,SardShU59F49,SardShW13,Container; Food & drink; Uncertain,intact,Bowl-Gen,Y,straight side from rim to sharp carination above rounded wall; ring foot; 2 bands of rouletting above and 2 below carination; micaceous clay turned grey from burning; self-slip on ext; none on int,1,7,,,,9,,,Pottery/ceramic,,,,49,1,FALSE,,
154,SardShU59(W13a),SardShW13,Container; Food & drink; Uncertain,fragmentary,Bowl-Gen,Y,rim fragment similar to [ID153]; rows of roughly incised dashes; scallops; wavy line on ext; pink-buff micaceous clay; red slip,1,,,,,,,,Pottery/ceramic,,,,,0,FALSE,,
155,SardShU59F50,SardShW13,Food & drink,fragmentary,Cookware-Gen,Y,rim fragment; beaker-like; tempered cooking fabric fired gray; out-turned rim smoothed down at edge; very well made with smooth ext. surface and even grooving,1,12,,,,26,,,Pottery/ceramic,,grey,,50,1,FALSE,,
156,SardShU59F51,SardShW11,Structural,broken,ColumnIonic,Y,Ionic column on base; white marble,1,61,49,51,,,,,Marble,,white,,51,0,FALSE,,
157,SardShM69.4:7920,SardShW11,Uncertain,fragmentary,MetalPiece,Y,six pieces of flat plates with perforated ends; 2 with hooks attached for lamp or censer; analyzed as low zinc brass,1,,0.9,10,,,,,Cu alloy,,other metal,,54,1,FALSE,,
158,SardShU69(W11a),SardShW11,Industry,intact,Mortar-Deep,Y,small; deep sides; wide foot,1,19.8,,,,,8.7,14.9,Marble,,,,,0,FALSE,,
159,SardShU69(W11b),SardShW11,Industry,intact,Mortar-Gen,Y,bowl-shaped; curved sides; flat rim; marble; rough-finished on ext,1,,,,,,,,Marble,,,,,0,FALSE,,
160,SardShM59.18:1396,SardShW10,Industry; Tool,broken,Chisel,Y,shaft with rectangular section; working end hammered to flat; slightly splayed edge; other end pointed for insertion in handle,1,,1.4,12.3,,,,,Iron,,other metal,,,0,FALSE,,
161,SardShU59F58,SardShW10,Food & drink,fragmentary,Cookware-Gen,Y,twisted handle or support (of frying pan?); knob reamed out; handmade; coarse tempered clay fired red; self-slip,1,,,8,,,,,Pottery/ceramic,,,,58,0,FALSE,,
162,SardShU59(W10a),SardShW10,Food & drink,fragmentary,Cookware-Gen,Y,fragments of neck and lifting ledge-handle; tempered clay fired gray,1,,,9,,,,,Pottery/ceramic,,,,,0,FALSE,,
163,SardShU59(W10b),SardShW10niche,Container; Other,fragmentary,Lid-Gen,Y,fragment; missing knob; rounded edge; flat with concentric ridges; underside smooth,1,,,,,24,,,Pottery/ceramic,,,,,0,FALSE,,
164,SardShU59(W10c),SardShW10niche,Container; Other,fragmentary,Lid-Gen,Y,flat; missing knob; edge pressed upward unevenly; ridged in center; made on rough stone tournette,1,,,,,17,,,Pottery/ceramic,,,,,0,FALSE,,
165,SardShS59.35:1739,SardShW10,Industry,broken,Mortar-Shlw,Y,concave spout and one lug handle P. with incised X; flat rim; disc base,1,10.5,,,,28.5,,,Marble,,,,59,1,FALSE,,
166,SardShUncat(W9a),SardShW9,Other,fragmentary,Glass-FragsGroup,Y,"large pieces of window glass were found at W31.37-32.00/S3.00-4.00 *98.00-97.75 and a ""terrific amount"" of fragments esp. bowls of goblets (D.G. Mitten; 1959 fieldbook)",1,,,,,,,,Glass,,,,,0,FALSE,,
167,SardShUncat(W9b),SardShW9,Other,fragmentary,Glass-FragsGroup,Y,Rims of colorless glass and a concentration of dark-green fragments were at W29.54-31.35/S0-3.00 *97.77-97.00,1,,,,,,,,Glass,,dark green,,,0,FALSE,,
168,SardShM59.6:1273,SardShW9,Jewellery,intact,FingerRing-Gen,Y,plain hoop with rectangular section,1,,,,,2.6,,,Other; Uncertain,,,,,0,FALSE,,
169,SardShP59.120:1409,SardShW9,Container,fragmentary,Amphora-Gen,Y,knobbed foot; pink-buff clay; not lined,1,7.2,,,,10,,,Pottery/ceramic,,,,72,1,FALSE,,
170,SardShP59.101:1376,SardShW9,Container,fragmentary,Amphora-Gen,Y,neck-shoulder fragment; ext gray from heat; int red; slip mottled orange-gray ƒ graffito: Fragmentary letters PO(?) incised just above shoulder in leather-hard clay before firing ƒ below groove at neck a 2nd graffito; cross with A [beta] N ƒ,1,,,,,6.5,,,Pottery/ceramic,,,,73,1,FALSE,,
171,SardShU59(W9a),SardShW9,Container,broken,Basin-Gen,Y,flat bottom; portion of wall P.; int. ridged; underside has impressed bars; wider at the ends as though turned on a ridged tournette,1,,,,,50,,,Pottery/ceramic,,,,64,2,FALSE,,
173,SardShU59(W9b),SardShW9,Container,fragmentary,Basin-Gen,Y,out-turned ledge rim fragment and straight wall; brick-like red clay; no slip,1,,,,,27,,,Pottery/ceramic,,,,,0,FALSE,,
174,SardShP59.88:1350,SardShW9,Container; Food & drink; Uncertain,fragmentary,Bowl-Shlw,Y,curved wall; out-turned rim; 2 ridges under lip; ring foot; ext wall carinated; int rounded; hole drilled after firing [6cm] below rim; red-orange clay; rough brick-like texture; thin red-orange slip,1,,,,,26,,,Pottery/ceramic,,,,74,1,FALSE,drilled hole is interesting - possible drainage?,
175,P59.133:1454,SardShW9,Container; Food & drink; Uncertain,fragmentary,Bowl-Shlw,Y,ring foot of shallow bowl; coarse red micaceous clay; with inclusions and blowouts; double groove in center; slip on int; not ext,1,,,,,,,12,Pottery/ceramic,,,,75,1,FALSE,,
176,SardShU59(W9c),SardShW9,Container; Food & drink; Uncertain,intact,Bowl-Conical,Y,smoothed rim slants inward; flange on ext pulled from body; pink-buff micaceous clay; no slip,1,,,,,0.27,,,Pottery/ceramic,,,,,0,FALSE,,
177,SardShP59.57:1274,SardShW9,Container; Food & drink; Uncertain,fragmentary,Bowl-Gen,Y,slightly curved tall ring foot and center of bowl P.; orange-purple slip on ext and int,1,,,,,,,8,Pottery/ceramic,,,,76,1,FALSE,,
178,SardShP59.100:1375,SardShW9,Food & drink,fragmentary,Cookware-FryingPan,Y,straight; slightly slanted wall; out-turned ledge rim with 3 ridges below; flat bottom; tempered clay fired gray,1,3.5,,,,20,,,Pottery/ceramic,,,,77,1,FALSE,,
179,SardShU59(W9d),SardShW9,Food & drink,fragmentary,Cookware-FryingPan,Y,as [ID178] but 2 ridges under rim on ext; some charring,1,,,,,20,,,Pottery/ceramic,,,,,0,FALSE,,
180,SardShU59F78,SardShW9,Container; Other,fragmentary,Lid-Gen,Y,fragment of dome-shaped lid(?); flange applied to rim leaving an airhole; provides a deep indentation to fit tightly over vessel rim; tempered clay fired red,1,5.5,,,,26,,,Pottery/ceramic,,,,78,1,FALSE,,
182,SardShU59F79,SardShW9,Food & drink; Industry; Uncertain,fragmentary,Colander,Y,fragment of colander; preserving edges of 5 holes made while body green; punched from ext to int with hollow tool or reed; coarse gray clay; no temper,1,,,,,,,,Pottery/ceramic,,,,79,1,FALSE,,
183,SardShU59(W9e),SardShW9,Food & drink; Industry; Uncertain,fragmentary,Colander,Y,as [ID182]; 2 holes show ridge of clay where punched inward; 2 smoothed; pink buff clay with much mica; no temper,1,,,,,,,,Pottery/ceramic,,,,,0,FALSE,,
184,SardShP59.134:1455,SardShW9,Container,fragmentary,Jug-Gen,Y,Fragments of jug or storage jar; buff clay; no slip,1,,,,,,,,Pottery/ceramic,,,,,0,FALSE,,
185,SardShP59.584:2214,SardShW9,Container,broken,Pithos,Y,rim to below shoulder P.; base restored from fragments; rim slants out on ext; thickens to form flat top and continuation of wall on extƒ,1,,,,,,41,42,Pottery/ceramic,,,,80,1,FALSE,,
186,SardShU59(W9f),SardShW9,Container,fragmentary,Pithos,Y,flat bottom and fragments of walls; ridged; surface finished with coarse cloth; imprint of stone tournette on underside; finger marks streaked across bottom while clay wet,1,,,,,50,,,Pottery/ceramic,,,,,0,FALSE,,
187,SardShP59.121:1410,SardShW9,Container,fragmentary,Pithos,Y,wall fragment; ext horiz combed; red clay; large inclusions; no slip,1,,,,,82,,,Pottery/ceramic,,,,,0,FALSE,,
188,SardShP59.231:1598,SardShW9,Container; Other,broken,Lid-Pithos,Y,bevelled on underside for tight fit into [pithos] mouth; 5 holes bored after firing; center one interrupts graffito; impressions of straw or matting on underside,1,,,,,28,,,Pottery/ceramic,,,,81,1,FALSE,,
189,SardShU59(W8a),SardShW8,Structural,intact,ColumnShaft,Y,complete shaft; profiled at narrower end,1,113,,,,25,,,Marble,,,,,0,FALSE,,
190,SardShU59(W8b),SardShW8,Structural,fragmentary,ColumnShaft,Y,fragment of shaft; pink-white brecciated marble,1,41.3,,,,29,,,Marble,,,,,0,FALSE,,
191,SardShG59.25:1341,SardShW8,Container,intact,Bottle-Miniature,Y,miniature pear-shaped bottle,1,4.7,,,,1.2,,,Glass,,,,82,1,FALSE,"""pear-shaped"" is a rough description of the form; does not mean the bottle is moulded to resemble a pear",
192,SardShM59.19:1399,SardShW8,Dress accessory,intact,Buckle,Y,buckle and plate; incised and punched circles on surface; tongue missing,1,,2.4,3.5,,,,,Cu alloy,,,,83,1,FALSE,,
193,SardShM59.14:1372,SardShW8,Security,fragmentary,Key,Y,notched bit of a key; P. with small round hole; ring (found separated) with flat section; narrow where passes through key,1,,,,,2.6,,,Cu alloy,,,,84,1,FALSE,,
194,SardShM61.18:3214,SardShW8,Commerce; Industry; Uncertain,intact,Weight,Y,biconical with flat surface; dot in center of each side; one face incised with symbol representing one uncia,1,,,,,1.8,,,Cu alloy,,,,85,1,FALSE,,
195,SardShP59.127:1447,SardShW8,Container,fragmentary,Amphora-Gen,Y,neck with 2 handles attached ca. [2cm] below down-turned rim and above shoulder,1,22.5,,,,16,,,Pottery/ceramic,,,,86,1,FALSE,,
196,SardShU59F87,SardShW8,Container,broken,Amphora-Gen,Y,handle joined at neck and shoulder; no scar for 2nd handle; ext ridged above shoulder; rounded lip; ridge below,1,20.5,,,,25.5,5,,Pottery/ceramic,,,,87,1,FALSE,,
197,SardShU59(W8c),SardShW8,Container,fragmentary,Amphora-Gen,Y,shoulder; no handle scar; coil built; overlaps of fabric can be seen in wall; clay not local; fired very hard; heavy calcined deposits on ext,1,,,,,,,,Pottery/ceramic,,,,,0,FALSE,,
198,SardShP59.237:1605,SardShW8,Container; Food & drink; Uncertain,intact,Bowl-Gen,Y,slanted wall; straight rim; concave bottom; coarse redware; some ridging on ext; slipped and smoothed on ext,1,4.5,,,,14,,,Pottery/ceramic,,,,88,1,FALSE,,
199,SardShU59(W8d),SardShW8,Container; Food & drink; Uncertain,fragmentary,Bowl-Gen,Y,as [ID198],1,,,,,28,,,Pottery/ceramic,,,,,0,FALSE,,
200,SardShU59(W8e),SardShW8,Container; Food & drink; Uncertain,fragmentary,Bowl-Gen,Y,as [ID198],1,,,,,36,,,Pottery/ceramic,,,,,0,FALSE,,
201,SardShP59.128:1448,SardShW8,Container; Food & drink; Uncertain,fragmentary,Bowl-Shlw,Y,fragment of plain incurved rim; buff clay; worn red slip,1,,,,,22,,,Pottery/ceramic,,,,89,1,FALSE,,
202,SardShU59(W8f),SardShW8,Container; Food & drink; Uncertain,fragmentary,Bowl-Gen,Y,fragment of upright rim; clay folded over on ext and rouletted; ridge below,1,,,,,,,,Pottery/ceramic,,,,,0,FALSE,"Crawford: ""Similar to Hayes 335; LRC form 3; type F no 23""",
203,SardShU59(W8g),SardShW8,Food & drink,fragmentary,Cookware-Gen,Y,rim fragment; fired red,1,,,,,21,,,Pottery/ceramic,,,,,0,FALSE,,
204,SardShP61.32A:3202,SardShW8,Container; Food & drink,intact,Cup-NoHandle,Y,small; handleless; flattened rim; ridged wall slants inward to flat base; coarse red clay; no slip,1,5.5,,,,9,,,Pottery/ceramic,,,,90,1,FALSE,,
205,SardShP59.109:1388,SardShW8,Container,broken,Jug-Gen,Y,ovoid body; neck curved slightly outward; mouth not P.; grooves at widest point and articulation of neck; heavy flat base; handle scar at bulge; reddish yellow clay with large inclusions; pink; very micaceous slip with gold sheen,1,15,,,,,,8,Pottery/ceramic,,,,91,1,FALSE,,
206,SardShU59F92,SardShW8,Container,broken,Jug-Gen,Y,small; crookedly thrown; straight lip set off from neck; round body; heavy; flat base; convex on int; one handle scar on bulge; clay soaked and encrusted but white slip visible on lip,1,12,,,,8.5,,,Pottery/ceramic,,,,92,1,FALSE,,
207,SardShU59(W8h),SardShW8,Container,fragmentary,Jug-Gen,Y,fragment of lip; int ridged; rim folded with flange on ext,1,,,,,,5,,Pottery/ceramic,,,,,0,FALSE,,
208,SardShU59(W8i),SardShW8,Container,fragmentary,Pithos,Y,Shoulder fragment; heavy; with large inclusions of quartz and other stones; coil madeƒ,1,,,,,,,,Pottery/ceramic,,,,,0,FALSE,,
209,SardShP59.111:1394,SardShW8,Food & drink; Uncertain,intact,Plate,Y,concave; rounded rim; ring foot; red clay; self-slip,1,7,,,,38,,,Pottery/ceramic,,,,,0,FALSE,,
210,SardShL59.4:1246,SardShW8,Lighting,intact,Lamp,Y,Asia Minor type; solid; vertical handle in form of mask (of Dionysus?); vines with fruit trail from hair around rim to nozzle; ridge around pour hole extends around wick hole; pear-shaped base with impressed footprint,1,4.5,,8.5,,,,,Pottery/ceramic,,,,93,1,FALSE,,
211,SardShS59.25:1439,SardShW8,Other; Religious; Uncertain,broken,Statuette-Deity,Y,Torso of Athena; neck to belo waist P.; aegis with gorgoneion and snakes on upper and lower rims,1,21,,,,,,,Marble,,,before 250,,0,FALSE,,
212,SardShBI59.1:1391,SardShW7,Tool; Uncertain,broken,HaftBone,Y,long tapered rectangular shaft; hole near wide end; groove cut ca. 1/3 from narrow end; perforated tang (a haft?),1,,1.3,9.3,,,,,Bone/ivory,,,,96,1,FALSE,,
213,SardShG59.22:1340,SardShW7,Container; Food & drink,fragmentary,Cup-Gen,Y,flat base (of cup?) sloping foot; convex wall of lower body,1,1.9,,,,4,,,Glass,,blue; green,,,0,FALSE,,
214,SardShG59.28.1734,SardShW7,Container,fragmentary,Bottle-Tubular,Y,fragments of 2 tube-like bottles; waisted at center; pale green,2,6.5,,,,1.2,,,Glass,,light green,,,0,FALSE,,
215,SardShM59.22A:1452,SardShW7,Jewellery,broken,FingerRing-Gen,Y,open hoop; ends are crudely shaped in the form of small heads (?); broken tangs held a setting (pierced bead?),1,,,,,2.2,,,Cu alloy,,,,97,1,FALSE,Found with ID216,
216,SardShM59.22B:1452,SardShW7,Jewellery,intact,FingerRing-Gen,Y,plain closed hoop with semi-circular section,1,,0.3,,,2.3,,,Cu alloy,,,,97,1,FALSE,Found with ID215,
217,SardShM59.11:1452,SardShW7,Container; Other,intact,Lid-Flask,Y,cylindrical,1,2.5,,,,4.6,,,Cu alloy,,,,,0,FALSE,,
218,SardShM59.5.1253,SardShW7,Other; Toilet; Tool; Uncertain,intact,Spoon-Apothecary,Y,trough-shaped bowl narrowing to tip; bead and reel at transition to thin handle with ovoid finial,1,,2.2,19.5,,,,,Cu alloy,,,,98,1,FALSE,,
219,SardShM59.21:1411,SardShW7,Industry; Tool,broken,Handsaw,Y,straight back slopes to pointed tip; straight serrated edge with small teeth; at back is a small rectangular tang surrounded by an iron ring held in place by rivets,1,,5.3,37,,,,,Iron,,,,99; 100,1,FALSE,,
220,SardShU59(W7a),SardShW7,Container; Food & drink; Uncertain,fragmentary,Bowl-Deep,Y,fragment of rim and wall ƒ ridged on ext; smoothed on int; out-turned lip set with ridge around rim; coarse pink-buff micaceous clay; no slip,1,,,,,20,,,Pottery/ceramic,,,,,0,FALSE,,
221,SardShU59(W7b),SardShW7,Container; Uncertain,fragmentary,Sherd-Coarseware,Y,rouletted rim frag; slants down and outward; micaceous pink-buff clay; red slip ƒ Cf. Hayes; 332; 335; LRC form 3:H; fig 68,1,,,,,28,,,Pottery/ceramic,,,,Hayes fig 68,0,FALSE,,
222,SardShU59(W7c),SardShW7,Container; Food & drink; Uncertain,fragmentary,Bowl-Shlw,Y,ca 2/3 rim P of shallow bowl; slanted rim as [ID221] but with ridge below; clay as [ID221]; no slip on ext; int wet-smoothed to form self-slip,1,,,,,3,,,Pottery/ceramic,,,,,0,FALSE,Estimated diameter of 3 cm seems very small; any further detail in another Sardis monograph?,
223,SardShP59.122:1414,SardShW7,Container; Food & drink; Uncertain,fragmentary,Bowl-Deep,Y,curved wall; rouletted rim,1,,,,,,,,Pottery/ceramic,,,,101,1,FALSE,,
224,SardShP59.83:1344,SardShW7,Container; Uncertain,fragmentary,Sherd-Coarseware,Y,gray ware,1,,,,,,,,Pottery/ceramic,,,,105,1,FALSE,,
225,SardShU59F102,SardShW7,Food & drink,fragmentary,Cookware-Globular,Y,fragments of rim; shoulder; one handle P; attached under rim and at shoulder with single press mark; rim curves out and upward; tempered clay fired gray,1,9.5,,,,20,,,Pottery/ceramic,,,,102,1,FALSE,,
226,SardShP59.81:1342,SardShW7,Food & drink,fragmentary,Cookware-Globular,Y,handle and out-turned rim; fired red with traces of slip,1,2.5,,,,9,,,Pottery/ceramic,,,,103,1,FALSE,,
227,SardShP59.115:1402,SardShW7,Food & drink,fragmentary,Cookware-Gen,Y,handle joined directly to rounded rim; to body frag with finger indentations; v micaceous tempered clay; smoothed w self-slip on int,1,6,,,,9,,,Pottery/ceramic,,,,104,1,FALSE,,
228,SardShP72.9:8211,SardShW7,Industry; Tool,fragmentary,Crucible,Y,four joining pieces of plain rim and rounded wall; ext ridged; tempered w quartz; int covered w black slag containing gold particles; crust composed mainly of lead with a trace of iron and silicate slag or scum ƒ in colonnade,1,4.5,,,,7,,,Pottery/ceramic,,,,109,1,FALSE,found in colonnade,
229,SardShP59.82:1343,SardShW7,Container,fragmentary,Jug-Gen,Y,rim and neck frag,1,3.3,,,,,6,,Pottery/ceramic,,,,106,1,FALSE,found with ID230,
230,SardShU59(W7d),SardShW7,Container,fragmentary,Jug-Trefoil,Y,coarse pink-buff clay; no slip,1,,,,,,,,Pottery/ceramic,,,,,0,FALSE,found with ID229,
231,SardShU59F107,SardShW7,Container; Other,intact,Lid/Bowl,Y,dome-shaped with flat knob on which it could stand if used as a bowl; ext ridged; int smooth; pink-buff micaceous clay; no slip,1,6,,,,,11,,Pottery/ceramic,,,,107,1,FALSE,,
232,SardShU59(W7e),SardShW7,Container; Other,intact,Lid-Gen,Y,convex top; wide rim,2,,,,,6.3,,,Pottery/ceramic,,,,,0,FALSE,,
234,SardShU59(W7f),SardShW7,Container; Other,broken,Lid-Gen,Y,flat; slightly raised rounded rim; scars of strap handle on either side of center,1,,,,,17,,,Pottery/ceramic,,,,,0,FALSE,wear marks seem to indicate use as part of a set for transporting/storing something (if strap interpreted as securing it to a vessel),
235,SardShP59.85:1346,SardShW7,Container; Other,fragmentary,Lid-Pithos,Y,two large joining frags of flat pithos lid; horiz handle attached w 3 finger impressions on either side; underside ridged where bonded to lid; light red clay; surface obscured by calcareous deposits,1,,,16.5,,,,,Pottery/ceramic,,,,,0,FALSE,NB: length given is that of handle,
236,SardShT59.4:1333,SardShW7,Container; Other,fragmentary,Lid-Pithos,Y,ca. 1/3 P; 2 rows of gouges at rim poked into the wet clay; clay as [ID235]; formed on rough stone; some pebbles pressed into the fabric,1,,,,,36,,,Pottery/ceramic,,,,,0,FALSE,,
237,SardShU59(W7g),SardShW7,Container,fragmentary,Pithos,Y,rim frag w ledge protruding below; incised wavy line on body; large quartz inclusions; surface smoothed; much has spalled off,1,,,,,69,,,Pottery/ceramic,,,,,0,FALSE,,
238,SardShP59.80:1332,SardShW7,Container,fragmentary,Pithos,Y,rim and shoulder frag; wavy line on rim; dots between grooves beneath rim,1,,,,,40,,,Pottery/ceramic,,,,,0,FALSE,,
239,SardShP59.107:1385,SardShW7,Container; Other,fragmentary,ClosedVessel,Y,shoulder frag; coarse fabric w no slip or lining,1,,,,,65,,,Pottery/ceramic,,,,108,1,FALSE,has graffito,
240,SardShS59.24:1438,SardShW7,Food & drink; Other; Uncertain,intact,TrayRound,Y,round; flat tray w curved wall; in-turned rim; int smoothly finished marble; ext rough-chiselled,1,5,,,,74,,,Marble,,,,,0,FALSE,"""in 2nd story deposit""",
241,SardShG58.68:865,SardShW3,Container,fragmentary,Bottle-Gen,Y,neck; applied spiral thread ƒ found w 2 non-joining frags of single handle,1,,,2.5,,,,,Glass,,,,,0,FALSE,,
242,SardShG58.22:408,SardShW3,Container,fragmentary,Glass-RingBaseBowl,N,,1,,,,,5,,,Glass,,,,,0,FALSE,,
243,SardShG58.23.409,SardShW3,Container,fragmentary,Glass-RingBaseBowl,N,,1,,,,,4,,,Glass,,,,,0,FALSE,,
244,SardShG58.27:387B,SardShW3,Container,fragmentary,Glass-RingBaseBowl,N,,1,,,,,5,,,Glass,,green,,,0,FALSE,,
245,SardShM58.36:392,SardShW3,Dress accessory,intact,Buckle,Y,flat oval plate w punched dots attached to oval buckle,1,,3.3,3.6,,,,,Cu alloy,,,,"116,117",1,FALSE,Found with ID246,
246,SardShM58.33:390,SardShW3,Dress accessory; Uncertain,intact,StrapEnd,Y,rectangular w rounded end having 3 openings in mask-like configuration; possibly a belt end,1,,1.7,3.3,,,,,Cu alloy,,,,118,1,FALSE,Found with ID245,
247,SardShM59.45:1682,SardShW3,Dress accessory; Uncertain,intact,StrapEnd,Y,shield-shaped plate w 3 holes below tongue hole,1,,1.9,2,,,,,Cu alloy,,,,119,1,FALSE,,
248,SardShM58.35:377,SardShW3,Security,intact,Hasp,Y,solid circular tab at one end; ring w cotter pin at other; incised zigzag pattern on top of flat bar,1,,1.1,7.5,,,,,Cu alloy,,,,120,1,FALSE,,
249,SardShM59.35:1600,SardShW3,Security; Uncertain,intact,Ring,Y,ring or key ring; thick center band decorated w traced lines tapers to flat bar,1,,,,,2.8,,,Cu alloy,,,,121,1,FALSE,,
250,SardShM59.36:1601,SardShW3,Jewellery,intact,FingerRing-Gen,Y,flat oval bezel in one piece w hoop,1,,,,,,,,Cu alloy,,,,,0,FALSE,,
251,SardShM59.40:1650,SardShW3,Other; Toilet; Tool; Uncertain,intact,Spoon-Apothecary,Y,trough-shaped bowl; bead moulding on handle,1,,1.6,20.2,,,,,Cu alloy,,,,,0,FALSE,Almost identical to ID218,
252,SardShM58.34:378,SardShW3,Commerce; Industry; Uncertain,intact,Steelyard-Hook,Y,s-shaped w square section; pyramidal stop at one end; other end flattened and tightly curved into double loop,1,,6,8,,,,,Cu alloy,,,,,0,FALSE,,
253,SardShM73.4:8249,SardShW3,Container; Uncertain,intact,Stopper,Y,hollow cylinder w broad flat rim; hinged lid w upright ring; lead plug fitted into cylinder,1,8.1,,,,5,,,Cu alloy,,,,"112,113",1,FALSE,,
254,SardShUncat(W3a),SardShW3,Industry; Tool,intact,Adze,N,,1,,7,14,,,,,Iron,,,,,0,FALSE,,
255,SardShUncat(W3b),SardShW3,Industry; Tool,broken,Axe,Y,head only,1,,,,,,,,Iron,,,,,0,FALSE,,
256,SardShUncat(W3c),SardShW3,Industry; Tool,broken,Axe,Y,head only,1,,,,,,,,Iron,,,,,0,FALSE,,
257,SardShUncat(W3d),SardShW3,Industry,fragmentary,MetalworkSlag,Y,a great deal of iron slag and ash was noted ƒ above the bench on the S spur wall,1,,,,,,,,Iron,,,,,0,FALSE,,
258,SardShM58.112:505,SardShW3,Agriculture; Industry; Tool,broken,Spade,Y,only blade,1,,19.5,24,,,,,Iron,,,,,0,FALSE,Found with ID259,
259,SardShUncat(W3e),SardShW3,Food & drink; Uncertain,broken,CookingGrill,N,piece of iron plate; possibly a cooking grill,1,,,,,,,,Iron,,,,,0,FALSE,Found with ID258,
260,SardShP59.104:1380,SardShW3,Container; Food & drink; Uncertain,fragmentary,Bowl-Gen,Y,rim frag; rounded edge; ridge and flange below,1,,,,,26,,,Pottery/ceramic,,,,123,0,FALSE,,
261,SardShP59.89:1353,SardShW3,Container; Food & drink; Uncertain,fragmentary,Bowl-Gen,Y,frag of straight wall w flat rim; wavy incised pattern on upper surface; coarse body; no slip,1,,,,,24,,,Pottery/ceramic,,,,,0,FALSE,,
262,SardShP59.90:1354,SardShW3,Food & drink,intact,Cookware-StandCylinder,Y,cylindrical stand; ridged wall turns inward at bottom; rests on finished edge; flares outward at top to support rounded cooking pot; holes on either side cut through wall after firing; untempered micaceous clay w some inclusions; fired l red w gray core,1,10,,,,,15,16,Pottery/ceramic,,,,124,1,FALSE,,
263,SardShP59.105:1381,SardShW3,Container; Food & drink,fragmentary,Cup-NoHandle,Y,foot frag ƒ v high spiral turn on int bottom,1,1.7,,,,,,4,Pottery/ceramic,,,,,0,FALSE,Same type found in E13 (fig443); and at 2 other locations on site,
264,SardShP59.236:1604,SardShW3,Structural,fragmentary,DrainCover,N,low vertical wall at ca r angle to bottom pierced w evenly-spaced holes; catalogued as colander but prob drain cover,1,6,,,,35,,,Pottery/ceramic,,,,,0,FALSE,,
265,SardShU59(W3a),SardShW3,Container; Other,intact,Lid-Gen,Y,convex w wide rims,2,,,,,,,,Pottery/ceramic,,,,,0,FALSE,Same type found in E13,
